2020-04-03,#genre#
发现之旅,http://stream.guihet.com/migu/index.php?id=624878970
探索纪录,http://stream.guihet.com/migu/index.php?id=615809560
爱奇艺-记录片,http://baiducdnct.inter.iqiyi.com/tslive/c15_lb_newjilupian_1080p_t10/c15_lb_newjilupian_1080p_t10.m3u8
爱奇艺-自然地理,http://baiducdnct.inter.iqiyi.com/tslive/c16_lb_zirandili_1080p_t10/c16_lb_zirandili_1080p_t10.m3u8
爱奇艺-历史秘闻,http://baiducdnct.inter.iqiyi.com/tslive/c15_lb_lishimiwen_1080p_t10/c15_lb_lishimiwen_1080p_t10.m3u8
爱奇艺-科学探索,http://baiducdnct.inter.iqiyi.com/tslive/c16_lb_kexuetansuo_1080p_t10/c16_lb_kexuetansuo_1080p_t10.m3u8
军事,#genre#
爱奇艺,http://baiducdnct.inter.iqiyi.com/tslive/c16_lb_junshinew_1080p_t10/c16_lb_junshinew_1080p_t10.m3u8
CIBN军事,http://cinb1.peoplevideo.cn/hls/vCIBNGZJC/1800/vCIBNGZJC.m3u8?wsSec
NewTV,http://112.50.243.8/PLTV/88888888/224/3221225890/1.m3u8
体育,#genre#
赛事最经典,http://stream.guihet.com/migu/index.php?id=646596895
NEW超级体育,http://112.50.243.8/PLTV/88888888/224/3221225925/1.m3u8
PP体育,http://stream.guihet.com/migu/index.php?id=654102378
NewTV搏击,http://112.50.243.8/PLTV/88888888/224/3221225895/1.m3u8
NewTV精品体育HD,http://112.50.243.8/PLTV/88888888/224/3221225886/1.m3u8
